Name,Hash_Key,Offcd,Degree,School,Major,Edu_S,Edu_E
官员姓名,搜索键,官员代码,学历/学位,毕业学校,专业,教育起始时间,教育终止时间
李锦斌,3c28a066bc9342a11cdd64e4cccf84abc76e9cc5,0000002446,研究生,吉林大学,政治学,1989.07,1992.07
李锦斌,3c28a066bc9342a11cdd64e4cccf84abc76e9cc5,0000002446,培训,中央党校,,1995.09,1996.07
李锦斌,3c28a066bc9342a11cdd64e4cccf84abc76e9cc5,0000002446,博士,吉林大学,政治学理论,1995.09,1998.06
李锦斌,3c28a066bc9342a11cdd64e4cccf84abc76e9cc5,0000002446,进修,美国芝加哥伊利诺伊大学,MBA,1996.06,1999.11
李井泉,1d080017de94d559078a8f91a3b00659866fd653,0000002453,,省立第三师范,,,
李井泉,1d080017de94d559078a8f91a3b00659866fd653,0000002453,,延安中央党校,,,
李克强,ba71b2a945ba970e730a617101c1b158ff7b8bcd,0000002486,本科,北京大学,法律,1978.00,1982.00
李克强,ba71b2a945ba970e730a617101c1b158ff7b8bcd,0000002486,进修,中央党校,,1991.09,1991.11
李克强,ba71b2a945ba970e730a617101c1b158ff7b8bcd,0000002486,研究生,北京大学,经济学,1988.00,1994.00
李克强,ba71b2a945ba970e730a617101c1b158ff7b8bcd,0000002486,博士,北京大学,经济学,1988.00,1994.00
李力安,9dbeb26db1f76cef85ab285e75e6aca2b0f178aa,0000002496,,,,,
李立,aff6f650824a5b9c3155578b53fade8db8b9951a,0000002498,,,,,
李强,0884fa0343c1be6921331c08a6909de2eeb9ff7e,0000002553,研究生,中央党校,工商管理,,
李庆伟,adeefebf0da3e17e1823061d483b84d04d0fe5bf,0000002571,,,,,
李瑞环,8fc6d8e7a1ac52b5618ea77bc1ae2b5fe3b7826e,0000002591,本科,北京建工业余学院,工业与民用建筑,1958.00,1963.00
李瑞山,36cea89a0bda212b23da2ff7e36adb809d0dcaa8,0000002592,,,,,
李希,fbb655dd0c7d573449a9e8379f3bb3d30caa618a,0000002679,本科,西北师范学院,汉语言文学,1978.03,1982.01
李希,fbb655dd0c7d573449a9e8379f3bb3d30caa618a,0000002679,进修,中央党校,,2004.03,2004.07
李希,fbb655dd0c7d573449a9e8379f3bb3d30caa618a,0000002679,研究生,清华大学,工商管理,2008.09,2011.01
李先念,4a971dc460e86d6ffa325a85b28154353124f988,0000002683,,,,,
李小鹏,a2dca465a9da15f52e4c824210e20535e8493eaa,0000002694,本科,华北电力学院,发电厂及电力系统,1978.10,1982.08
李小鹏,a2dca465a9da15f52e4c824210e20535e8493eaa,0000002694,培训,加拿大安大略水电局、曼尼吐巴直流高压输电研究中心、曼尼吐巴大学,,1987.02,1988.02
李小鹏,a2dca465a9da15f52e4c824210e20535e8493eaa,0000002694,专科,北京经济函授大学,经济管理,1989.04,1991.04
李小鹏,a2dca465a9da15f52e4c824210e20535e8493eaa,0000002694,培训,中央党校,,2001.03,2002.01
李小鹏,a2dca465a9da15f52e4c824210e20535e8493eaa,0000002694,培训,中央党校,,2006.05,2006.07
李学勇,02d54183c7d935d85c9fa7c205f41ae65db78d54,0000002721,本科,北京化工学院（今北京化工大学）,高分子化工,1978.03,1982.02
李学勇,02d54183c7d935d85c9fa7c205f41ae65db78d54,0000002721,进修,中央党校,,1999.03,1999.05
李学勇,02d54183c7d935d85c9fa7c205f41ae65db78d54,0000002721,培训,国家行政学院,,2001.08,2001.11
李雪峰,1af1d1beb6f2b51cba1e750f9680643925fe73cb,0000002723,,太原国民师范学院,,1925.00,
李雪峰,1af1d1beb6f2b51cba1e750f9680643925fe73cb,0000002723,,山西大学,,1931.00,
李源潮,7e038f7f8e03b3cfe97c72855bbe7f6e4b103921,0000002786,本科,上海师范大学,数学,1972.00,1974.00
李源潮,7e038f7f8e03b3cfe97c72855bbe7f6e4b103921,0000002786,研究生,北京大学,理学,1988.00,1991.00
李源潮,7e038f7f8e03b3cfe97c72855bbe7f6e4b103921,0000002786,博士,中央党校,科学社会主义,1991.00,1995.00
李泽民,abb674db29ef8d4c1532195c1546b704ecd5f08e,0000002800,本科,中国人民大学,中共党史,,
李长春,f64979b22addac4c5ca9119ceee3aeeecf818060,0000002804,本科,哈尔滨工业大学,工业企业自动化,1961.00,1966.00
李兆焯,06881004077e6a93bd7aa6e45d0c7aa6ccf30077,0000002811,本科,广西大学,农田水利工程,1963.00,1968.00
李兆焯,06881004077e6a93bd7aa6e45d0c7aa6ccf30077,0000002811,培训,广西区党委党校,,1982.00,1983.00
李兆焯,06881004077e6a93bd7aa6e45d0c7aa6ccf30077,0000002811,培训,中央党校,,1987.02,1987.07
栗战书,c06cc3e6651d4ff1e770a5e3d0a3986ecabf5bef,0000002868,学习,河北省石家庄地区财贸学校,物价专业学,1971.00,1972.00
栗战书,c06cc3e6651d4ff1e770a5e3d0a3986ecabf5bef,0000002868,本科,河北师范大学,政教,1980.00,1983.00
栗战书,c06cc3e6651d4ff1e770a5e3d0a3986ecabf5bef,0000002868,培训,中央党校,,1988.02,1988.08
栗战书,c06cc3e6651d4ff1e770a5e3d0a3986ecabf5bef,0000002868,学习,中央党校,经济,1992.00,1994.00
栗战书,c06cc3e6651d4ff1e770a5e3d0a3986ecabf5bef,0000002868,研究生,中国社会科学院,商业经济,1996.00,1998.00
栗战书,c06cc3e6651d4ff1e770a5e3d0a3986ecabf5bef,0000002868,研究生,哈尔滨工业大学,工商管理,2005.00,2007.00
梁保华,15724d09a41da7505e12c8a6796af7d60d228e83,0000002878,本科,复旦大学,新闻,1963.09,1968.08
梁保华,15724d09a41da7505e12c8a6796af7d60d228e83,0000002878,培训, 省委党校,,1972.10,1973.01
梁步庭,40c28ecbc8fc7988518f8536b3833dbef2f3a9e0,0000002883,,,,,
梁灵光,e4317fc063e63e48336d7db2c05014c1f6e53611,0000002909,,,,,
梁湘,197efd080c7d748213c05bebba69285d1d9f6455,0000002928,本科,北京师范大学,,,
廖志高,1d153c53b244d5f8e38949fc1f83a0be5d5df035,0000002966,学习,四川省立第二师范学校,,1930.00,
列确,03172cf0afebff43314aa5317a93eb03ca4b55ee,0000002967,专科,中央党校,,1983.09,1985.07
林乎加,c6c11c753be7354c241905bd6f431cb92e7dcd4b,0000002991,高中,,,,
林若,ac86eebd52eb1b7db22d58cb72dc6d20b66a57b5,0000003025,本科,中山大学,文学,1945.00,
林树森,135cc161d940c7fda1070d550febaa15621474cf,0000003035,本科,华南理工大学,工民建,1965.09,1970.08
林树森,135cc161d940c7fda1070d550febaa15621474cf,0000003035,培训,中央党校,,1991.09,1992.07
林铁,14e93a704902db09e4129e6f5f2e35549ebce45d,0000003039,,北京中国大学,,1925.00,
林铁,14e93a704902db09e4129e6f5f2e35549ebce45d,0000003039,,国立北京中俄大学,,,
林铁,14e93a704902db09e4129e6f5f2e35549ebce45d,0000003039,,法政大学,,,
林铁,14e93a704902db09e4129e6f5f2e35549ebce45d,0000003039,,巴黎大学,,,
林铁,14e93a704902db09e4129e6f5f2e35549ebce45d,0000003039,,莫斯科东方大学,,,
刘赐贵,c4c9a0839d730997e23f16909658bc3539ae30ae,0000003113,培训,福建省委党校,,1981.08,1983.08
刘赐贵,c4c9a0839d730997e23f16909658bc3539ae30ae,0000003113,本科,中央党校,经济管理,1994.08,1996.12
刘赐贵,c4c9a0839d730997e23f16909658bc3539ae30ae,0000003113,进修,中央党校,,2001.09,2002.01
刘赐贵,c4c9a0839d730997e23f16909658bc3539ae30ae,0000003113,研究生,厦门大学,海洋生物学,2000.10,2002.10
刘赐贵,c4c9a0839d730997e23f16909658bc3539ae30ae,0000003113,研究生,中央党校,科学社会主义,2003.03,2005.01
刘方仁,76851a11fbe8ea09355a045faa31882e03f6755e,0000003127,专科,沈阳建筑材料工业学院（现沈阳建筑大学）,硅酸盐,1958.09,1962.07
刘方仁,76851a11fbe8ea09355a045faa31882e03f6755e,0000003127,培训,中央党校,,1994.05,
刘格平,8ee141812700bc4ec251d2d724b152045180688f,0000003147,,,,,
刘慧,93f9cdeb4190889b5ca797e91903495f34976d27,0000003198,研究生,中央党校,经济管理,,
刘杰,e6b7e357848f56b0265d8808d1778855932d216f,0000003232,高中,沧州市第一中学,,,
刘明辉,ddf2b7e96f669a8b8025a02ed56b8267b915de2d,0000003278,,,,,
刘奇葆,ed0f563fdfdc0d15d2500fe5ab0f481e370153f8,0000003295,本科,安徽师范大学,历史学,1972.00,1974.00
刘奇葆,ed0f563fdfdc0d15d2500fe5ab0f481e370153f8,0000003295,进修,中央党校,,1992.09,1992.12
刘奇葆,ed0f563fdfdc0d15d2500fe5ab0f481e370153f8,0000003295,研究生,吉林大学,国民经济计划和管理,1991.00,1993.00
刘淇,898d55a3bd3c20dbe6642a2760519cd620f8260f,0000003296,本科,北京钢铁学院,钢铁冶金,1959.00,1964.00
刘淇,898d55a3bd3c20dbe6642a2760519cd620f8260f,0000003296,研究生,北京钢铁学院,炼铁,1964.00,1968.00
刘伟平,d674833b5df49c017ff8fa6a2ee818a08ba833bf,0000003364,本科,南京航空学院,飞机设计,1972.04,1976.01
刘伟平,d674833b5df49c017ff8fa6a2ee818a08ba833bf,0000003364,培训,中央党校,,1998.09,1999.07
刘伟平,d674833b5df49c017ff8fa6a2ee818a08ba833bf,0000003364,研究生,中央党校,世界经济,1998.09,2001.07
刘贤权,2bbe543adae6ef65d3530933ae59ff5f1f9c59ff,0000003381,专科,解放军军事学院,,,
刘振华,12b02d6f8c157263c7f141128013cd91c37db438,0000003473,高中,抚顺二中,,,1961.00
刘振华,12b02d6f8c157263c7f141128013cd91c37db438,0000003473,本科,东北工学院,真空技术设备,,
刘正威,449e1d2a56431951791b4ba8ecaaf6a0fd0ab116,0000003480,,,,,
刘子厚,53fc5eab8302ab5f04394e5cbc27e9f1abad286d,0000003504,,,,,
娄勤俭,c56c5967165820d03ed5461dac2b11821297a0d3,0000003541,本科,华中工学院,外部设备,1978.03,1982.02
娄勤俭,c56c5967165820d03ed5461dac2b11821297a0d3,0000003541,研究生,电子工业部第十五研究所,计算机组织与系统结构,1985.09,1988.07
娄勤俭,c56c5967165820d03ed5461dac2b11821297a0d3,0000003541,培训,中央党校,,1996.09,1997.07
娄勤俭,c56c5967165820d03ed5461dac2b11821297a0d3,0000003541,博士,华中科技大学,计算机系统结构,1998.05,2003.12
娄勤俭,c56c5967165820d03ed5461dac2b11821297a0d3,0000003541,进修,中央党校,,2001.03,2001.05
娄勤俭,c56c5967165820d03ed5461dac2b11821297a0d3,0000003541,进修,中央党校,,2007.03,2007.05
卢荣景,87cb36fb15588cf6bd644f5e42e698ebcb57761f,0000003552,,,,,
卢瑞华,a690f40b0fc5ff4f145e6fb439ffb793dce21617,0000003553,本科,中山大学,物理,1958.00,1963.00
卢瑞华,a690f40b0fc5ff4f145e6fb439ffb793dce21617,0000003553,研究生,中山大学,分子光谱,1963.00,1966.00
卢展工,ae4c22d13b924aaa72d655065ae88f772d9a6edc,0000003568,学习,黑龙江省建筑工程学校,工业与民用建筑,1972.00,1974.00
