Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Hash_Key,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,搜索键,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110116,北京市,,怀柔区,区委书记,17,,张建东,6d43673737be2cfabede0e99e58b8b5716e8d5c4,2011.07-2013.02,7408,男,汉族,河北乐亭,1962.07,1982.12,,,
110116,北京市,,怀柔区,区委书记,17,,齐静,9a9ce87fe077e271e56714af28681e0c93f9029a,2013.03-至今,4131,女,汉族,安徽省无为县,1963.08,,,,
110117,北京市,,平谷区,区长,18,,赵克忠,17c3fa664f046f6d59d6fd2461f48019bf70950a,2001.12-2003.01,7911,,,,,,,,
110117,北京市,,平谷区,区长,18,,王云峰,5cdfdc74601432a55dfa7bc0e6f96ccc1a813178,2003.01-2006.05,4963,男,汉族,河北阜城,1954.04,1979.03,,,
110117,北京市,,平谷区,区长,18,,邱水平,7345446b6dc19b93d6178f27c338554587f13529,2006.06-2010.03,4216,男,汉族,江西南丰,1962.06,1983.04,,,
110117,北京市,,平谷区,区长,18,,张吉福,86d78a832bae88efee856e0729c967b0154ae6db,2010.03-2013.03,7392,男,汉族,天津市,1964.09,1985.03,,,
110117,北京市,,平谷区,区长,18,,姜帆,e6e61988c3ffda3431da9a39441be99655e69b33,2013.03-至今,10801,,,,1977.02,,,,
110117,北京市,,平谷区,区委书记,17,,刘宝善,ba6d95d71415a488f6ead41f828df67ef0dfee6d,2001.12-2003.01,12062,,,,,,,,
110117,北京市,,平谷区,区委书记,17,,赵克忠,17c3fa664f046f6d59d6fd2461f48019bf70950a,2003.01-2006.02,7911,,,,,,,,
110117,北京市,,平谷区,区委书记,17,,秦刚,a6b604436c5374cfc2b95aa0876620aa9051f95a,2006.02-2010.02,4179,男,汉族,山西长治,1954.05,1972.02,,,
110117,北京市,,平谷区,区委书记,17,,邱水平,7345446b6dc19b93d6178f27c338554587f13529,2010.03-2013.03,4216,男,汉族,江西南丰,1962.06,1983.04,,,
110117,北京市,,平谷区,区委书记,17,,张吉福,86d78a832bae88efee856e0729c967b0154ae6db,2013.03-2015.08,7392,男,汉族,天津市,1964.09,1985.03,,,
110117,北京市,,平谷区,区委书记,17,,王成国,ba3cc346a6e8d3ae1000d569932d6799580f600a,2015.09-至今,14516,男,汉族,山东莱芜,1966.02,1987.12,,,
110118,北京市,,崇文区,区长,18,,李晓光,39b4bacea2f18640a37abcec7b1a1afdea839781,-2002.06,2700,男,汉族,黑龙江巴彦,1955.07,1978.1,,,
110118,北京市,,崇文区,区长,18,,吉胜久,e487863c8cfdbdc0d4451c1b918f68ab498686e6,2002.07-2006.01,10678,男,汉族,河北玉田,1950.02,,,,
110118,北京市,,崇文区,区长,18,,牛青山,1a3bf4fa86e7ba9e44653e7d4415e1af5541b53d,2006.01-2010.07,4008,男,汉族,河北定县,1960.12,1979.08,,,
110118,北京市,,崇文区,区委书记,17,,尤兰田,4c900a36a103af2ed0312b5959bd322a78d4313d,-2002.06,16579,女,汉族,天津市,1951.01,1970.12,,,
