Arcd ,Prvn,Pftn,Cont,Pst,Pstcd,Pstrm,Name,Term,Offcd,Gender,Eth,Bthp,Bthd,Jnpdt ,,,
区域代码,省级名称,地市级名称,县级名称,职位,职位代码,职位备注,官员姓名,任期期间,官员代码,性别,民族,籍贯,出生日期,入党时间,,,
110117,北京市,,平谷区,区长,18,,张吉福,2010.03-2013.03,7392,男,汉族,天津市,1964.09,1985.03,,,
110117,北京市,,平谷区,区长,18,,姜帆,2013.03-至今,10801,,,,1977.02,,,,
110117,北京市,,平谷区,区委书记,17,,刘宝善,2001.12-2003.01,12062,,,,,,,,
110117,北京市,,平谷区,区委书记,17,,赵克忠,2003.01-2006.02,7911,,,,,,,,
110117,北京市,,平谷区,区委书记,17,,秦刚,2006.02-2010.02,4179,男,汉族,山西长治,1954.05,1972.02,,,
110117,北京市,,平谷区,区委书记,17,,邱水平,2010.03-2013.03,4216,男,汉族,江西南丰,1962.06,1983.04,,,
110117,北京市,,平谷区,区委书记,17,,张吉福,2013.03-2015.08,7392,男,汉族,天津市,1964.09,1985.03,,,
110117,北京市,,平谷区,区委书记,17,,王成国,2015.09-至今,14516,男,汉族,山东莱芜,1966.02,1987.12,,,
110118,北京市,,崇文区,区长,18,,李晓光,-2002.06,2700,男,汉族,黑龙江巴彦,1955.07,1978.1,,,
110118,北京市,,崇文区,区长,18,,吉胜久,2002.07-2006.01,10678,男,汉族,河北玉田,1950.02,,,,
110118,北京市,,崇文区,区长,18,,牛青山,2006.01-2010.07,4008,男,汉族,河北定县,1960.12,1979.08,,,
110118,北京市,,崇文区,区委书记,17,,尤兰田,-2002.06,16579,女,汉族,天津市,1951.01,1970.12,,,
110118,北京市,,崇文区,区委书记,17,,李晓光,2002.06-2008.12,2700,男,汉族,黑龙江巴彦,1955.07,1978.1,,,
110118,北京市,,崇文区,区委书记,17,,夏强,2008.12-2010.07,6244,男,汉族,山东济南,1955.05,1975.01,,,
110119,北京市,,宣武区,区长,18,,唐大生,1997.11-2001.12,5706,男,满族,北京,1948.06,,,,
110119,北京市,,宣武区,区长,18,,鲁勇,2001.12-2003.04,12630,男,汉族,河北秦皇岛,1963.08,1983.06,,,
110119,北京市,,宣武区,区长,18,,武高山,2003.04-2006.04,15528,男,汉族,山西芮城,1956.01,,,,
110119,北京市,,宣武区,区长,18,,王刚,2006.12-2010.06,6019,男,汉族,辽宁锦西,1968.07,,,,
110119,北京市,,宣武区,区委书记,17,,唐大生,2001.12-2008.12,5706,男,满族,北京,1948.06,,,,
110119,北京市,,宣武区,区委书记,17,,王宁,2008.11-2010.06,4665,男,汉族,山西清徐,1960,1987.02,,,
110228,北京市,,密云县,县长,20,,王洪钟,2000.07-2002.07,5971,男,汉族,北京房山,1965.02,,,,
110228,北京市,,密云县,县长,20,,王孝东,2004.04-2007.11,14971,男,汉族,河北蔚县,1956.12,1979.06,,,
110228,北京市,,密云县,县长,20,,刘福志,2007.11-2010.03,12122,男,汉族,北京密云冯家峪镇,1957.01,1975.07,,,
110228,北京市,,密云县,县长,20,,王海臣,2010.03-至今,14629,男,汉族,北京顺义,1965.06,1985.03,,,
110228,北京市,,密云县,县委书记,19,,吉林,1998.10-2002.05,10676,男,汉族,上海市,1962.04,1984.05,,,
110228,北京市,,密云县,县委书记,19,,王洪钟,2002.07-2003.11,5971,男,汉族,北京房山,1965.02,,,,
110228,北京市,,密云县,县委书记,19,,夏强,2003.11-2008.11,6244,男,汉族,山东济南,1955.05,1975.01,,,
110228,北京市,,密云县,县委书记,19,,汪先永,2008.11-至今,14473,男,汉族,安徽太湖,1967.07,1988.05,,,
110229,北京市,,延庆县,县长,20,,李长栓,2001.08-2004.10,11740,,,北京市延庆,1949.1,,,,
110229,北京市,,延庆县,县长,20,,孙文锴,2004.12-2010.03,5608,男,汉族,四川邛崃,1966.06,1985.06,,,
110229,北京市,,延庆县,县长,20,,李先忠,2010.04-至今,11600,男,汉族,山东黄县,1971.06,1993.06,,,
110229,北京市,,延庆县,县委书记,19,,王海平,2001.08-2003.08,6015,男,汉族,山西省运城地区芮城县,1957.04,,,,
110229,北京市,,延庆县,县委书记,19,,侯君舒,2003.09-2010.02,1598,男,汉族,河南省宁陵县,1963.06,1985.07,,,
110229,北京市,,延庆县,县委书记,19,,孙文锴,2010.03-2012.02,5608,男,汉族,四川邛崃,1966.06,1985.06,,,
110229,北京市,,延庆县,县委书记,19,,李志军,2010.04-至今,11756,男,汉族,河南林州,1969.1,2001.06,,,
130102,河北省,石家庄市,长安区,区长,18,,张聪,,7241,男,,,,,,,
130102,河北省,石家庄市,长安区,区长,18,,朱增海,1998.01-2003.04,5412,男,汉族,河北邯郸,1956.09,1978.12,,,
130102,河北省,石家庄市,长安区,区长,18,,马文刚,-至今,12958,男,汉族,,,,,,
130102,河北省,石家庄市,长安区,区委书记,17,,许昆峥,1998.01-2003.02,6530,男,汉族,河北元氏,1953.04,1978.07,,,
130102,河北省,石家庄市,长安区,区委书记,17,,郝建国,2003.04-2010.03,10075,男,汉族,任丘,1955.06,1983.06,,,
130102,河北省,石家庄市,长安区,区委书记,17,,安树国,2010.04-至今,37,男,汉族,河北邢台,1961.01,1979.04,,,
130104,河北省,石家庄市,桥西区,区长,18,,陶明法,,5744,男,汉族,,,,,,
130104,河北省,石家庄市,桥西区,区长,18,,张晋,,7454,,汉族,,,,,,
130104,河北省,石家庄市,桥西区,区长,18,,周立新,-2013.1,5280,,,,,,,,
130104,河北省,石家庄市,桥西区,区委书记,17,,陶明法,,5744,男,汉族,,,,,,
130104,河北省,石家庄市,桥西区,区委书记,17,,赵宏魁,,7881,男,汉族,,,,,,
130104,河北省,石家庄市,桥西区,区委书记,17,,聂英武,,3994,男,汉族,河北鹿泉,1960.02,1979.09,,,
130104,河北省,石家庄市,桥西区,区委书记,17,,韩宪章,1996.03-2003.03,1450,男,汉族,河北灵寿,1954.07,1977.03,,,
130104,河北省,石家庄市,桥西区,区委书记,17,,朱增海,2003.04-2008.06,5412,男,汉族,河北邯郸,1956.09,1978.12,,,
130105,河北省,石家庄市,新华区,区长,18,,王德庆,,5899,男,,,,,,,
130105,河北省,石家庄市,新华区,区长,18,,韩学军,,1454,男,,,,,,,
130105,河北省,石家庄市,新华区,区长,18,,张石峰,2002.01-2004.12,7583,男,汉族,辽宁绥中,1953.09,,,,
130105,河北省,石家庄市,新华区,区长,18,,蒋文红,2005.01-2008.12,2071,男,汉族,湖南湘阴,1966.08,1998.03,,,
130105,河北省,石家庄市,新华区,区长,18,,刘建芳,-至今,12186,男,,,,,,,
130105,河北省,石家庄市,新华区,区委书记,17,,张石峰,2004.12-2008.03,7583,男,汉族,辽宁绥中,1953.09,,,,
130105,河北省,石家庄市,新华区,区委书记,17,,蒋文红,2008.06-2013.07,2071,男,汉族,湖南湘阴,1966.08,1998.03,,,
130105,河北省,石家庄市,新华区,区委书记,17,,李晋宇,2013.11-2014.07,11385,男,汉族,河北固安,1969.08,1991.11,,,
130105,河北省,石家庄市,新华区,区委书记,17,,韩学军,2014.12-至今,1454,男,,,,,,,
130107,河北省,石家庄市,井陉矿区,区长,18,,朱献军,,18126,,汉族,,1967.1,,,,
130107,河北省,石家庄市,井陉矿区,区长,18,,贾连海,2002.01-2003.04,1957,男,汉族,河北行唐,1956.05,1983.08,,,
130107,河北省,石家庄市,井陉矿区,区长,18,,栾建英,-至今,12682,男,,,,,,,
130107,河北省,石家庄市,井陉矿区,区委书记,17,,黄朝庆,,10432,男,汉族,安徽砀山,1965.01,,,,
130107,河北省,石家庄市,井陉矿区,区委书记,17,,刘俊和,,12217,,,,,,,,
130107,河北省,石家庄市,井陉矿区,区委书记,17,,贾连海,2003.04-2008.12,1957,男,汉族,河北行唐,1956.05,1983.08,,,
130107,河北省,石家庄市,井陉矿区,区委书记,17,,张旭,2009.03-至今,7713,男,汉族,河北无极,1969.01,1995.07,,,
130108,河北省,石家庄市,裕华区,区长,18,,王丽君,,4621,女,,,,,,,
130108,河北省,石家庄市,裕华区,区长,18,,武卫东,2004.03-2005.05,6210,男,汉族,河北平山,1969,1991.1,,,
130108,河北省,石家庄市,裕华区,区长,18,,常志卷,2013.04-至今,8455,男,,,,,,,
130108,河北省,石家庄市,裕华区,区委书记,17,,张连刚,,17114,男,,,,,,,
130108,河北省,石家庄市,裕华区,区委书记,17,,赵宏魁,,7881,男,汉族,,,,,,
130108,河北省,石家庄市,裕华区,区委书记,17,,赵拴文,2001.07-2005.04,17618,男,汉族,,1957.07,,,,
130108,河北省,石家庄市,裕华区,区委书记,17,,武卫东,2005.05-2007.06,6210,男,汉族,河北平山,1969,1991.1,,,
130108,河北省,石家庄市,裕华区,区委书记,17,,王丽君,-至今,4621,女,汉族,,1962.08,,,,
130109,河北省,石家庄市,藁城市,市长,6,,王普增,2003.03-2009.01,4692,,汉族,,1966.1,1987.11,,,
130109,河北省,石家庄市,藁城市,市长,6,,张旭,2009.03-,7713,男,汉族,河北无极,1969.01,1995.07,,,
130109,河北省,石家庄市,藁城市,市长,6,,高玉柱,2012.02-2014.08,1230,男,汉族,河北井陉县,1965.1,1988.01,,,
130109,河北省,石家庄市,藁城市,市长,6,,袁丽华,2014.08-至今,16750,,,,,,,,
130109,河北省,石家庄市,藁城市,市委书记,5,,张树志,2002.09-2008.05,7604,男,汉族,河北东光,1957.01,1975.08,,,
130109,河北省,石家庄市,藁城市,市委书记,5,,王普增,2008.06-2013.05,4692,,,,,1987.11,,,
130109,河北省,石家庄市,藁城市,市委书记,5,,高玉柱,2014.08-至今,1230,男,汉族,河北井陉县,1965.1,1988.01,,,
130110,河北省,石家庄市,鹿泉市,市长,6,,张国亮,1998.01-2002.10,7323,,,,,,,,
130110,河北省,石家庄市,鹿泉市,市长,6,,安树国,2003.01-2005.11,37,男,汉族,河北邢台,1961.01,1979.04,,,
130110,河北省,石家庄市,鹿泉市,市长,6,,郝竹山,2005.12-2010.04,1491,男,汉族,河北省石家庄市平山县,1963.03,,,,
130110,河北省,石家庄市,鹿泉市,市长,6,,董晓航,2010.06-2011.08,904,男,汉族,河北省石家庄市栾城区,1972.05,,,,
130110,河北省,石家庄市,鹿泉市,市长,6,,周永会,2012.02-2013.11,5335,男,汉族,,1969.09,,,,
130110,河北省,石家庄市,鹿泉市,市长,6,,郑巍,2013.11-至今,17790,男,,,,,,,
130110,河北省,石家庄市,鹿泉市,市委书记,5,,张国亮,2002.10-2005.11,7323,,,,,,,,
